 memory-RWR-10000000-1thread.dat
100000000	1	10000000	4.829390
 memory-RWR-10000000-2thread.dat
100000000	2	10000000	4.854995
 memory-RWR-10000000-1thread.dat
100000000	R	1	10000000	5.546874
100000000	R	1	10000000	6.034981
100000000	R	2	10000000	5.565119
100000000	R	4	10000000	5.877350
100000000	R	1	1000000	6.155923
100000000	R	2	1000000	6.099824
100000000	R	4	1000000	6.258696
100000000	R	1	1000	2.531705
100000000	R	2	1000	2.716481
100000000	R	4	1000	2.709710
100000000	R	1	1	0.000727
100000000	R	2	1	0.000671
100000000	R	4	1	0.000662
100000000	S	1	10000000	1.615779
100000000	S	2	10000000	1.622233
100000000	S	4	10000000	1.612953
100000000	S	1	1000000	1.613291
100000000	S	2	1000000	1.614454
100000000	S	4	1000000	1.627713
100000000	S	1	1000	1.525715
100000000	S	2	1000	1.497558
100000000	S	4	1000	1.386362
100000000	S	1	1	0.000017
100000000	S	2	1	0.000018
100000000	S	4	1	0.000018
100000000	R	1	10000000	6.670172
100000000	R	2	10000000	6.758637
100000000	R	4	10000000	6.698085
100000000	R	1	1000000	6.793311
100000000	R	2	1000000	6.974774
100000000	R	4	1000000	6.946568
100000000	R	1	1000	2.958469
100000000	R	2	1000	2.979937
100000000	R	4	1000	2.192240
100000000	R	1	1	0.000748
100000000	R	2	1	0.000851
100000000	R	4	1	0.000862
100000000	S	1	10000000	1.464832
100000000	S	2	10000000	1.459550
100000000	S	4	10000000	1.276812
100000000	S	1	1000000	1.312412
100000000	S	2	1000000	1.299488
100000000	S	4	1000000	1.496501
100000000	S	1	1000	1.441852
100000000	S	2	1000	1.196748
100000000	S	4	1000	1.208113
100000000	S	1	1	0.000018
100000000	S	2	1	0.000018
100000000	S	4	1	0.000020
100000000	R	1	10000000	5.842004
100000000	R	2	10000000	5.507385
100000000	R	4	10000000	6.152910
100000000	R	1	1000000	6.681382
100000000	R	2	1000000	5.545401
100000000	R	4	1000000	5.448882
100000000	R	1	1000	2.597544
100000000	R	2	1000	2.579003
100000000	R	4	1000	2.562407
100000000	R	1	1	0.000703
100000000	R	2	1	0.000672
100000000	R	4	1	0.000716
100000000	S	1	10000000	1.498629
100000000	S	2	10000000	1.517995
100000000	S	4	10000000	1.495824
100000000	S	1	1000000	1.281149
100000000	S	2	1000000	1.116502
100000000	S	4	1000000	1.086337
100000000	S	1	1000	1.092161
100000000	S	2	1000	0.932523
100000000	S	4	1000	0.918668
100000000	S	1	1	0.000025
100000000	S	2	1	0.000028
100000000	S	4	1	0.000030
